iter	MultiClass
0	1.028341506
1	0.9562444683
2	0.891737898
3	0.8328110115
4	0.7859164905
5	0.7378662898
6	0.7022112397
7	0.6669349185
8	0.6359583338
9	0.6036416523
10	0.5796326063
11	0.5573805011
12	0.5351329138
13	0.5139672421
14	0.4944547704
15	0.4741589432
16	0.4547190657
17	0.435300286
18	0.4194029654
19	0.4046193126
20	0.3916877127
21	0.3794962587
22	0.3695262303
23	0.361208539
24	0.3524589743
25	0.3456851693
26	0.3375932018
27	0.3288684129
28	0.320681731
29	0.3103013792
30	0.3021782398
31	0.2958990972
32	0.2879882106
33	0.2811108001
34	0.2752969675
35	0.269567573
36	0.2630249445
37	0.2573614715
38	0.2526735944
39	0.246337425
40	0.2436760563
41	0.2378436444
42	0.2334114425
43	0.2303263749
44	0.2270437734
45	0.2238559712
46	0.2212505552
47	0.2174767408
48	0.2142266402
49	0.2106904771
50	0.2080230718
51	0.2054467716
52	0.2008812095
53	0.1979362205
54	0.1947637096
55	0.192605545
56	0.1894322414
57	0.187708271
58	0.1851171893
59	0.1819273516
60	0.1788027644
61	0.1775049966
62	0.1752004697
63	0.1736551723
64	0.171886269
65	0.1703362707
66	0.1674980474
67	0.1654236447
68	0.1633294338
69	0.1606741677
70	0.1587539314
71	0.1570404097
72	0.1549319107
73	0.1538871809
74	0.1527235223
75	0.1520258334
76	0.150626414
77	0.1501754336
78	0.1485130896
79	0.1470090392
80	0.1451079844
81	0.1425846615
82	0.1408567267
83	0.1390089994
84	0.1370057893
85	0.1353635041
86	0.1330849596
87	0.1309191468
88	0.1295400898
89	0.1285423065
90	0.1266148324
91	0.1259471411
92	0.1241491518
93	0.1226736043
94	0.1215022048
95	0.1206630244
96	0.1192308792
97	0.1171409936
98	0.1157721022
99	0.1143342338
100	0.1132047979
101	0.1125661332
102	0.111829459
103	0.1112265414
104	0.1103080736
105	0.1095642349
106	0.109206447
107	0.1084182768
108	0.1070169834
109	0.105879407
110	0.1050868652
111	0.1048311873
112	0.1041450842
113	0.1027450763
114	0.1019175352
115	0.1006939631
116	0.0997157368
117	0.09868361489
118	0.09793421454
119	0.0970370088
120	0.09600460139
121	0.09466812732
122	0.09383342869
123	0.09337950567
124	0.09277477035
125	0.09154588582
126	0.09026563507
127	0.08943741302
128	0.08862699723
129	0.08776124324
130	0.08703444955
131	0.08637373923
132	0.08556650271
133	0.08500766985
134	0.08449297335
135	0.08433001128
136	0.08336394638
137	0.08289700335
138	0.08193756509
139	0.08171987338
140	0.08081669458
141	0.08053185236
142	0.08008271335
143	0.07965010587
144	0.0787060431
145	0.07801520975
146	0.07738770297
147	0.07682090822
148	0.07616744875
149	0.07560013563
150	0.07510929333
151	0.07429565819
152	0.07411164376
153	0.07319865896
154	0.07205810328
155	0.07136490883
156	0.0711627978
157	0.07077893592
158	0.070153064
159	0.06982658395
160	0.06945652372
161	0.06901411436
162	0.06876436726
163	0.06798663202
164	0.06770339415
165	0.06744766605
166	0.0672076078
167	0.06680534135
168	0.06655348803
169	0.06632768155
170	0.06605815664
171	0.06539410071
172	0.06505151823
173	0.06450473881
174	0.06422561808
175	0.06347161447
176	0.06323461519
177	0.06270999141
178	0.06221344605
179	0.06177218185
180	0.06130765513
181	0.06077487262
182	0.06033955519
183	0.05988632938
184	0.05958863931
185	0.05927521073
186	0.05901897277
187	0.05880549994
188	0.05830841913
189	0.05800923726
190	0.0579100074
191	0.05761325601
192	0.05725370064
193	0.05682826357
194	0.05643454783
195	0.05598949563
196	0.05567474531
